Date,Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Area,Crop_Yield
2020-01-01,Capsicum,Clay,5.986902154501571,27.620151376850423,66.96817760138721,9.017936703333636,15.428781323608051,13.736408184666985,180.67147680447275,0.2866061131631984,1.690976067662871
2020-01-02,Capsicum,Loamy,6.735928598332891,27.116222357237742,67.36717829687511,14.08980891914864,18.328935948872292,13.329120962314033,101.65394492898766,0.6138615135606387,3.621782930007768
2020-01-03,Capsicum,Clay,6.451592124354827,25.588231611644588,69.2727369660109,11.379304895796654,11.250889098364036,11.7615391250286,118.68078981904985,0.4642941868028508,2.7393357021368203
2020-01-04,Capsicum,Clay,6.278256029456148,28.648377148895463,66.70002193029946,12.691698695235877,11.297829657226114,16.07266670101488,165.4905302117831,0.5430046690703189,3.2037275475148816
2020-01-05,Capsicum,Loamy,5.702824232575168,22.603796124227223,69.34824842406086,8.685624690277137,15.568183602783076,14.76624160508629,137.5759347803963,0.1978918630128194,1.1675619917756348
2020-01-06,Capsicum,Loamy,5.702792876437063,21.87411368247697,65.44067215488346,14.600118808191256,19.463786533583708,18.657009923240036,198.2482651061107,0.7416931577303201,4.375989630608888
2020-01-07,Capsicum,Clay,5.57550869581866,27.83169573564338,68.88399218604316,13.20461290158315,14.149977583707543,10.321095804820583,166.5404792638254,0.7272757604638784,4.290926986736883
2020-01-08,Capsicum,Sandy,6.626028989507415,24.513198533069986,69.23773816527368,13.539484630145436,13.269421002546949,16.438679275551262,195.65489087292065,0.1172719289141403,0.691904380593428
2020-01-09,Capsicum,Clay,6.281449515266171,27.775750833656485,65.90908826418669,6.721942674257543,16.06689323197886,17.629488785115612,120.14464816457938,0.4068120756082439,2.40019124608864
2020-01-10,Capsicum,Clay,6.420494351134859,28.14472164156332,67.151732661861,7.709632078712195,19.30448600545031,17.594865691883072,186.3957028115023,0.1550164815769182,0.914597241303818
2020-01-11,Capsicum,Clay,5.526759842584543,21.49966074895257,65.82749887331828,7.856265996835771,18.369278328446235,18.86073967095525,132.13523058152253,0.7336846235319665,4.3287392788386025
2020-01-12,Capsicum,Clay,6.760882807810592,28.067718103888485,68.53302064497109,7.709092232468712,19.9548361073322,17.29033742829494,198.95648082378068,0.6898157465005635,4.069912904353325
2020-01-13,Capsicum,Loamy,6.582175433040549,24.586552442955377,67.67673884030829,13.55408162104288,10.225685832023771,19.278100616476962,115.76886720731473,0.8215904754345249,4.847383805063697
2020-01-14,Capsicum,Clay,5.776040843881759,25.08345991203386,68.17661673354161,5.318847952085921,11.128581447127623,13.326565998208915,151.63398188383266,0.2891231671624917,1.705826686258701
2020-01-15,Capsicum,Sandy,5.736372457369231,26.01274008874568,65.98243483478106,5.760999889807743,16.09467763366622,15.032094167515432,179.2844533837122,0.4650367065022391,2.743716568363211
